question,answer,topic,difficulty
32. 32.How do you exclude lines matching a pattern?,grep -v 'pattern' filename,general,medium
33. 33.How do you print the last column of a file?,awk '{print $NF}' filename,general,medium
34. 34.How do you display the first 10 lines of a file?,"head filename or sed -n '1,10p' filename",general,medium
35. 35.How do you check the current user?,whoami,general,medium
36. 36.What's the full form of pwd?,print working directory,general,medium
37. 37.How do you check system info?,uname -a,general,medium
38. 38.How do you check system IP address?,ip a or hostname -I,general,medium
39. 39.How do you restart a service?,sudo systemctl restart service_name,general,medium
40. 40.How do you list open ports?,netstat -tuln or ss -tuln,general,medium
41. 41.How do you check if an IP is reachable?,ping IP_address,general,medium
42. 42.How do you setup passwordless SSH login?,use ssh-keygen and then ssh-copy-id user@host,general,medium
43. 43.How do you mount a volume?,mount /dev/sdx39 /mnt/mountpoint,general,medium
44. 44.What is inode?,A data stucture storing file metadata (not name or content).,general,medium
45. 45.what's the difference between hard link and soft link?,hard link points to inode directly and soft link is a shortcut which points to the inode.,general,medium
46. 46.What are file permissions?,"defines read (r), write (w), execute (x) access for user, group and others.",general,medium
47. 47.What is a package manager?,"tool to install/manage software (e,g apt,yum,dnf).",general,medium
48. 48.how do you check linux kernal version?,uname -a,general,medium
49. 49.how do you find files modified 30 days ago?,find . -mtime +30,general,medium
50. 50.How do you install software?,sudo apt install packagename (debian) or sudo yum install packagename (REHL,general,medium
51. 51.How do you update software?,sudo apt update && sudo apt upgrade (Debain) or sudo yum update (REHL),general,medium
52. 52.what is TCP?,transmission control protocol - connection oriented protocol.,general,medium
53. 53.what is UDP?,User datagram protocol - connectionless and faster but unreliable.,general,medium
54. 54.Differene between wget and curl?,"both fetch web content wget is simpler for downloads, curl supports more protocols and apis.",general,medium
55. 55.What is shell?,"Shell is a command-line interface that allows users to interact with the operating system. it interprets command and communicates with the kernam. comman types : bash , sh, Zsh.",general,medium
56. 56.What is the first line in a shell script?,shebang : #!/bin/bash -- it tells the system to use bash shell to execute the script,general,medium
57. 57.How do you comment in a shell script?,# at the beginning of the file.,general,medium
58. 58.How do you pass arguments to a shell script?,"using positional parameters like $1, $2, etc.",general,medium
59. 59.What is $# in shell script?,it returns the total number of arguments passed to the script.,general,medium
60. 60.What is $@ in shell script?,it returns all arguments passed to the script as an array.,general,medium
61. 61.What is $! in shell script?,The PID of the last background process.,general,medium
62. 62.What is $$ in shell script?,PID of the currently running script.,general,medium
63. 63.What is $? in shell script?,"Exit status of the last executed command (0 =success, non-zero = error).",general,medium
64. how do you check if a number is even or odd in a shell script?,"bash if [ $(($1 % 2)) -eq 0 ]; then echo ""Even"" else echo ""Odd"" fi",general,medium
65. 64.what is a loop in shell scripting?,"loops are used to execute a block of code repeatedly. types include for, while, until.",general,medium
66. 65.What's the difference between = and == in shell scripting?,= is for assignment or comparision in [ ] == is used for string comparison in [[]].,general,medium
67. 66.What is the use of && (double ampersand)?,logical AND: the second command executes only if the first succeeds. cmd1 && cmd2,general,medium
68. Write a shell script to check if a file exists or not.,"bash if [ -f filename ]; then echo ""File exists"" else echo ""File does not exist"" fi",general,medium
"69. Write a shell script to display contents of a file if it exists, otherwise show ""file not found"".","bash bash


if [ -f ""$1"" ]; then cat ""$1"" else echo ""File not found"" fi",general,medium
"70. Write a shell script to add two numbers (user input, not arguments).","bash read -p ""Enter first number: "" num1 read -p ""Enter second number: "" num2 sum=$((num1 + num2)) echo ""Sum is: $sum""",general,medium
71. Write a shell script to find the largest of two numbers.,"bash

if [ $1 -gt $2 ]; then
  echo ""$1 is greater""
else
  echo ""$2 is greater""
fi",general,medium
72. 67.How do you get a list of all processes started by a specific user?,ps -u username,general,medium
73. 68.How do you kill all processes by a specific user?,pkill -u username,general,medium
74. 69.How do you stop a process gracefully?,Use systemctl stop service_name or kill PID (without -9).,general,medium
75. 70.How do you read user input in a shell script?,read variable_name,general,medium
76. 71.How do you handle input as script arguments?,"Use $1, $2, etc.",general,medium
77. 72.How do you create a directory inside another directory?,mkdir -p dir1/dir2,general,medium
78. 73.How do you get superuser privileges?,sudo -i or prefix a command with sudo,general,medium
79. 74.How do you quit vi without saving a file?,:q!,general,medium
80. 75.How do you find and replace a string inside a file using sed?,sed -i 's/old/new/g' filename,general,medium
81. 76.How do you count the number of lines with a specific pattern?,grep -c 'pattern' filename,general,medium
82. 77.How do you delete the 1st and 3rd lines of a file using sed?,sed -e '1d' -e '3d' filename,general,medium
83. 78.What is a shell script?,A file containing a series of Linux commands to automate tasks.,general,medium
84. 79.Why do we use shell scripts?,To automate repetitive tasks.,general,medium
85. 80.How do you copy a file from one location to another?,cp /source/path/file /destination/path/,general,medium
86. 81.How do you log into a remote EC2 instance?,ssh -i key.pem user@ip_address,general,medium
87. 82.What is the first line of a shell script called? Why is it used?,"It is called the shebang: #!/bin/bash, and it tells the OS which interpreter to use.",general,medium
88. 83.What’s the difference between .bashrc and .bash_profile?,".bashrc is for non-login shells, .bash_profile is for login shells.",general,medium
89. 84.What are the modes available in vi editor?,Command mode and Insert mode.,general,medium
90. 85.How do you switch between modes in vi?,"Press i for Insert mode, Esc to return to Command mode.",general,medium
91. 86.How do you view recently created files (sorted)?,ls -lt,general,medium
92. 87.How do you add a new user?,sudo useradd username,general,medium
93. 88.How do you view the manual page of a command?,man command_name,general,medium
94. 89.How do you see folder structure?,tree (install via sudo apt install tree if not present),general,medium
95. 90.How do you switch users?,su - username,general,medium
96. 91.How do you find file size or disk usage of a file?,du -sh filename,general,medium
97. 92.How do you print a message?,"echo ""your message""",general,medium
"98. 93.How do you print a specific line (e.g., line 108) from a file?",sed -n '108p' filename or head -n 108 filename | tail -n 1,general,medium
99. 94.What is the port number for HTTP?,80,general,medium
100. 95.What is the port number for HTTPS?,443,general,medium
101. 96.What is the use of the ping command?,To test network connectivity between two hosts.,general,medium
102. 97.What is $# in shell scripting?,Total number of arguments passed to the script.,general,medium
103. 98.How do you list hidden files?,ls -a,general,medium
104. 99.How do you rename or move a file?,mv oldname newname,general,medium
105. 100.What is a package manager?,"A tool to install, update, and manage software (e.g., apt, yum).",general,medium
106. 101.What is the package manager for Ubuntu?,apt,general,medium
107. 102.How do you modify permissions of a file?,,general,medium
108. 103.How do you change ownership of a file?,chown user:group filename,general,medium
109. 104.What is an inode?,A data structure that stores metadata about a file.,general,medium
110. 105.How do you download a file from a URL?,wget URL or curl -O URL,general,medium
111. 106.How do you redirect output to a file (overwrite)?,command > file,general,medium
112. 107.How do you append output to a file?,command >> file,general,medium
113. 108.How do you count the number of characters in a file?,,general,medium
114. 109.How do you print the 8th column using awk?,awk '{print $8}' filename,general,medium
115. 110.What command checks memory usage?,free -h,general,medium
116. 111.How do you check status of a process?,ps -ef | grep processname,general,medium
117. 112.What is $@ in shell scripting?,All arguments passed to the script as separate words.,general,medium
118. 113.All arguments passed to the script as separate words.,PID of the current shell.,general,medium
119. 114.What is $? in shell scripting?,Exit status of the last command (0 = success).,general,medium
120. 115.What is $* in shell scripting?,All arguments as a single string.,general,medium
121. 116.What is $! in shell scripting?,PID of the last background process.,general,medium
122. 117.How do you give sudo permission to a user?,Add the user to the sudo group: usermod -aG sudo username,general,medium
123. 118.How do you change default file permissions for new files?,"umask command (e.g., umask 022)",general,medium
124. 119.How do you copy a file from one repo to another?,Use scp or rsync. rsync is preferred for resuming interrupted transfers.,general,medium
125. 120.How do you set up a passwordless SSH connection?,ssh-keygen → ssh-copy-id user@host,general,medium
126. 121.How do you list open ports?,netstat -tuln or ss -tuln,general,medium
127. 122.How do you create a file?,touch filename,general,medium
128. 123.How do you change file permissions?,chmod 755 filename,general,medium
129. 124.How do you delete an environmental variable?,unset VARIABLE_NAME,general,medium
130. 125.What is the use of telnet?,To test TCP connectivity to a remote port: telnet host port,general,medium
131. 126.How do you fetch the current user details?,whoami or id,general,medium
132. 127.How do you get the IP of the server?,hostname -I or ip a,general,medium
133. 128.How do you change group ownership of a file?,chown :groupname filename,general,medium
134. 129.How do you search for a file by modification time (within last 30 days)?,find . -type f -mtime -30,general,medium
135. 130.What’s the difference between soft link and hard link?,Soft link is a pointer to the file; hard link is a mirror of the file inode.,general,medium
136. 131.How do you untar a .tar.gz file?,tar -xvzf filename.tar.gz,general,medium
137. 132.How do you list environmental variables?,env or printenv,general,medium
138. 133.How do you add a new environmental variable?,export VAR=value,general,medium
139. 134.How do you kill a process?,kill PID,general,medium
140. 135.How do you get the PID of a process?,ps -ef | grep processname,general,medium
141. 136.How do you copy files between two servers?,scp user1@host1:/path/file user2@host2:/path/,general,medium
142. 137.What is a zombie process?,A process that has finished execution but still has an entry in the process table.,general,medium
143. 138.What is an orphan process?,A child process whose parent has terminated.,general,medium
144. 139.What is a daemon process?,"A background process that runs continuously (e.g., cron, sshd).",general,medium
145. 140.What is swap space?,Disk space used when RAM is full.,general,medium
146. 141.How do you search for a file containing a pattern like 'echo'?,.000grep -rl 'echo' .,general,medium
147. 142.How do you find files starting with M?,ls | grep '^M',general,medium
148. 143.What’s the difference between grep and sed?,"grep searches for patterns, sed can search, replace, delete lines, etc.",general,medium
149. 144.What’s the difference between cut and awk?,cut is limited to simple delimited fields; awk is more powerful and programmable.,general,medium
150. 145.How do you check CPU usage of processes?,top or htop,general,medium
151. 146.What is a sticky bit?,A permission setting that allows only file owners to delete files in a directory.,general,medium
152. 147.How do you run a process in the background?,command &,general,medium
153. 148.What is nohup?,Runs a command immune to hangups; useful for background processes.,general,medium
154. 149.How do you stop a process gracefully?,systemctl stop service_name,general,medium
155. 150.How do you search for processes by a specific user?,ps -u username,general,medium
156. 151.How do you create a background process in shell script?,./script.sh &,general,medium
157. Can you explain the file system hierarchy of Linux?,The Linux file system is hierarchical and starts at / (root). Key directories: /bin – essential binaries /home – user home directories /var – variable data like logs /etc – config files /root – root user’s home directory,general,medium
158. 153.What is a zombie process?,A zombie process is a completed process that still remains in the process table because its parent hasn’t read its exit status.,general,medium
159. 154.What is an inode?,"An inode is a unique identifier for a file storing metadata like size, ownership, and permissions (but not name or content).",general,medium
160. 155.What is $@?,It lists all arguments passed to the script as separate words.,general,medium
161. 156.What is $!?,,general,medium
162. 157.What is $??,It gives the exit status of the last executed command (0 = success).,general,medium
163. 158.What is the shebang (#!)?,"It's the first line in a shell script: #!/bin/bash
 It tells the OS to use the Bash shell to execute the script.",general,medium
164. 159.How do you comment in a shell script?,Use # before the line.,general,medium
165. 160.How do you read input from a user inside a shell script?,Use read variable_name,general,medium
166. 161.How do you pass arguments to a shell script?,"By calling it like ./script.sh arg1 arg2, then accessing with $1, $2, etc.",general,medium
167. 162.How do you make a shell script executable?,chmod +x script.sh,general,medium
168. Write a script to calculate the factorial of a number.,"bash read -p ""Enter a number: "" num fact=1 while [ $num -gt 1 ]; do fact=$((fact * num)) num=$((num - 1)) done echo ""Factorial: $fact""",general,medium
169. 163.write a script to reverse a string.,"bash read -p ""Enter string: "" str rev_str=$(echo ""$str"" | rev) echo ""Reversed: $rev_str""",general,medium
170. 164.write a script to check if a number is prime.,"bash
CopyEdit read -p ""Enter number: "" num is_prime=1 for ((i=2; i if [ $((num % i)) -eq 0 ]; then is_prime=0 break fi done [ $is_prime -eq 1 ] && echo ""Prime"" || echo ""Not Prime""",general,medium
171. 165.Write a script to find the largest of two numbers.,"bash CopyEdit read -p ""Enter first number: "" a read -p ""Enter second number: "" b [ $a -gt $b ] && echo ""$a is larger"" || echo ""$b is larger""",general,medium
"172. 166.Write a script to check if a file exists, and display its contents.","bash CopyEdit read -p ""Enter filename: "" file if [ -f ""$file"" ]; then cat ""$file"" else echo ""No file found"" fi",general,medium
173. 168.Write a script to list all files in the current directory.,ls,general,medium
174. 169.What is piping (|) in Linux?,"It passes the output of one command as input to another.
 Example: ls | grep txt",general,medium
175. 170.What does ls -p do?,"Lists files and directories, adding a / to directories.",general,medium
176. 171.What is curl used for?,curl is used to transfer data from or to a server (like downloading files).,general,medium
177. 172.How do you print lines 8–10 of a file?,"sed -n '8,10p' filename",general,medium
178. 173.Difference between soft link and hard link?,Soft link (symbolic): Points to the filename. Breaks if target file is deleted. Hard link: Points directly to the inode. File remains accessible even if original is deleted.,general,medium
179. 174.What is nohup used for?,To run a process in the background even after logout or terminal close. Example: nohup script.sh &,general,medium
180. 175.What is a zombie process?,A process that has completed execution but still remains in the process table because its parent hasn’t read the exit status.,general,medium
181. 176.What is an orphan process?,A process whose parent has terminated before the child. The orphan is adopted by init (PID 1).,general,medium
182. 177.What is inode?,"A unique identifier for a file storing metadata (not file name or content), including size, permissions, and location on disk.",general,medium
183. 178.How do you search for a file in Linux?,"find . -iname ""filename""",general,medium
184. 179.How do you search for a pattern in files?,"grep -i ""pattern"" filename",general,medium
185. 180.How do you list ports in Linux?,netstat -tuln or ss -tuln,general,medium
186. 181.What is shebang?,"#!/bin/bash — the first line of a shell script, telling the OS which shell to use.",general,medium
187. 182.What is $! in shell scripting?,PID of the last background process.,general,medium
188. 183.How do you copy files between two EC2 instances?,scp -i key.pem file user@IP:/destination/path,general,medium
189. 184.How do you make a passwordless SSH connection?,,general,medium
190. Can you explain the Linux file system architecture?,"swfewfewfewsThe Linux file system is hierarchical, starting from the root /. Key directories include /bin (essential binaries), /etc (config files), /home (user directories), /var (logs), /tmp (temporary files), /usr (user apps), and /opt (optional software).",general,medium
191. How do you execute a command with superuser privileges?,Use sudo command_name or su to switch to root shell.,general,medium
192. What’s the difference between sudo and su?,sudo runs a command as another user (usually root); su switches the shell to another user (often root).,general,medium
193. How do you change the current directory?,cd /path/to/directory,general,medium
194. How do you check the current directory?,pwd (Print Working Directory),general,medium
195. How do you list all running processes?,ps -ef or top or htop,general,medium
196. What is a zombie process?,A process that has completed but still has an entry in the process table because the parent hasn’t read its exit status.,general,medium
197. What is the use of the kill command?,To terminate a process using its PID: kill PID,general,medium
198. How do you view the contents of a file?,"Use cat filename, less filename, or more filename.",general,medium
199. How do you edit a file?,Use vi filename or nano filename.,general,medium
200. What are the modes in vi editor?,"Insert Mode (press i), Command Mode (press Esc), and Last Line Mode (:). Save with :wq, quit with :q!, delete line with dd.",general,medium
201. How do you create a directory inside another in a single command?,mkdir -p parent/child/grandchild,general,medium
202. How do you delete a directory?,rm -r directory_name,general,medium
203. How do you copy a file?,cp source destination,general,medium
204. How do you delete a line inside a file?,"Open in vi, go to the line, then press dd.",general,medium
205. How do you remove an empty file?,rm filename,general,medium
206. How do you extract a .tar.gz file?,tar -xvzf filename.tar.gz,general,medium
207. How do you check disk space usage?,df -h,general,medium
208. What is the use of df -i?,Shows inode usage for each mounted file system.,general,medium
209. How do you check memory usage?,free -h,general,medium
210. What is the use of the free command?,Displays system memory usage (RAM and swap).,general,medium
211. How do you change file permissions?,chmod 755 filename (or use symbolic mode: chmod u+x filename),general,medium
212. How do you change ownership of a file?,chown newuser:newgroup filename,general,medium
213. How do you set only execute permission for a file?,chmod +x filename or chmod 111 filename,general,medium
214. How do you give all permissions to the user?,chmod 700 filename,general,medium
215. How do you create a new user?,sudo useradd username,general,medium
216. How do you change a user’s password?,sudo passwd username,general,medium
217. How do you count characters in a file?,wc -m filename,general,medium
218. How do you count characters in the 10th line of a file?,head -n 10 filename | tail -n 1 | wc -m,general,medium
219. How do you see the last few lines of a file?,tail -n 5 filename (replace 5 with desired number),general,medium
220. How do you search for a pattern in a file?,grep 'pattern' filename,general,medium
221. How do you exclude lines matching a pattern?,grep -v 'pattern' filename,general,medium
222. How do you print the last column of a file?,awk '{print $NF}' filename,general,medium
223. How do you display the first 10 lines of a file?,"head filename or sed -n '1,10p' filename",general,medium
224. How do you check the current user?,whoami,general,medium
225. What’s the full form of pwd?,Print Working Directory,general,medium
226. How do you check system info?,uname -a,general,medium
227. How do you check system IP address?,ip a or hostname -I,general,medium
228. How do you restart a service?,sudo systemctl restart servicename,general,medium
229. How do you list open ports?,netstat -tuln or ss -tuln,general,medium
230. How do you check if an IP is reachable?,ping IP_address,general,medium
231. How do you setup passwordless SSH login?,Use ssh-keygen and then ssh-copy-id user@host,general,medium
232. How do you mount a volume?,mount /dev/sdX /mnt/mountpoint,general,medium
233. What is inode?,A data structure storing file metadata (not name or content).,general,medium
234. What’s the difference between hard link and soft link?,"Hard link points to inode directly, soft link is a shortcut (symbolic link).",general,medium
235. What are file permissions?,"Defines read (r), write (w), execute (x) access for user, group, and others.",general,medium
236. What is a package manager?,"Tool to install/manage software (e.g., apt, yum, dnf)",general,medium
237. How do you check Linux kernel version?,uname -r,general,medium
238. How do you find files modified 30 days ago?,find . -mtime +30,general,medium
239. How do you install software?,sudo apt install packagename (Debian) or sudo yum install packagename (RHEL),general,medium
240. How do you update software?,sudo apt update && sudo apt upgrade (Debian) or sudo yum update (RHEL),general,medium
241. What is TCP?,Transmission Control Protocol – connection-oriented protocol.,general,medium
242. What is UDP?,User Datagram Protocol – connectionless and faster but unreliable.,general,medium
243. Difference between wget and curl?,"Both fetch web content. wget is simpler for downloads, curl supports more protocols and APIs.",general,medium
244. What is shell?,"Shell is a command-line interface that allows users to interact with the operating system. It interprets commands and communicates with the kernel. Common types: bash, sh, zsh.",general,medium
245. What is the first line in a shell script?,The shebang: #!/bin/bash — it tells the system to use the Bash shell to execute the script.,general,medium
246. How do you comment in a shell script?,Use # at the beginning of the line.,general,medium
247. How do you pass arguments to a shell script?,"Using positional parameters like $1, $2, etc.",general,medium
248. What is $# in shell script?,It returns the total number of arguments passed to the script.,general,medium
249. What is $@ in shell script?,It returns all arguments passed to the script as an array.,general,medium
250. What is $! in shell script?,The PID of the last background process.,general,medium
251. What is $$ in shell script?,PID of the currently running script.,general,medium
252. What is $? in shell script?,"Exit status of the last executed command (0 = success, non-zero = error).",general,medium
253. How do you check if a number is even or odd in a shell script?,"bash if [ $(($1 % 2)) -eq 0 ]; then echo ""Even"" else echo ""Odd"" fi",general,medium
254. What is a loop in shell scripting?,"Loops are used to execute a block of code repeatedly. Types include for, while, until.",general,medium
255. What’s the difference between = and == in shell scripting?,= is for assignment or comparison in [ ]. == is used for string comparison in [[ ]].,general,medium
256. What is the use of && (double ampersand)?,"Logical AND: the second command executes only if the first succeeds. Example: cmd1 && cmd2. Write a shell script to check if a file exists or not. bash if [ -f filename ]; then echo ""File exists"" else echo ""File does not exist"" fi Write a shell script to display contents of a file if it exists, otherwise show “file not found”. bash if [ -f ""$1"" ]; then cat ""$1"" else echo ""File not found"" fi Write a shell script to add two numbers (user input, not arguments). bash read -p ""Enter first number: "" num1 read -p ""Enter second number: "" num2 sum=$((num1 + num2)) echo ""Sum is: $sum"" Write a shell script to find the largest of two numbers. bash if [ $1 -gt $2 ]; then echo ""$1 is greater"" else echo ""$2 is greater"" fi",general,medium
257. How do you get a list of all processes started by a specific user?,ps -u username,general,medium
258. How do you kill all processes by a specific user?,pkill -u username,general,medium
259. How do you stop a process gracefully?,Use systemctl stop service_name or kill PID (without -9).,general,medium
260. How do you read user input in a shell script?,read variable_name,general,medium
261. How do you handle input as script arguments?,"Use $1, $2, etc.",general,medium
262. How do you create a directory inside another directory?,mkdir -p dir1/dir2,general,medium
263. How do you get superuser privileges?,sudo -i or prefix a command with sudo,general,medium
264. How do you quit vi without saving a file?,:q!,general,medium
265. How do you find and replace a string inside a file using sed?,sed -i 's/old/new/g' filename,general,medium
266. How do you count the number of lines with a specific pattern?,grep -c 'pattern' filename,general,medium
267. How do you delete the 1st and 3rd lines of a file using sed?,sed -e '1d' -e '3d' filename,general,medium
268. What is a shell script?,A file containing a series of Linux commands to automate tasks.,general,medium
269. Why do we use shell scripts?,To automate repetitive tasks.,general,medium
270. How do you copy a file from one location to another?,cp /source/path/file /destination/path/,general,medium
271. How do you log into a remote EC2 instance?,ssh -i key.pem user@ip_address,general,medium
272. What is the first line of a shell script called? Why is it used?,"It is called the shebang: #!/bin/bash, and it tells the OS which interpreter to use.",general,medium
273. What’s the difference between .bashrc and .bash_profile?,".bashrc is for non-login shells, .bash_profile is for login shells.",general,medium
274. What are the modes available in vi editor?,Command mode and Insert mode.,general,medium
275. How do you switch between modes in vi?,"Press i for Insert mode, Esc to return to Command mode.",general,medium
276. How do you view recently created files (sorted)?,ls -lt,general,medium
277. How do you add a new user?,sudo useradd username,general,medium
278. How do you view the manual page of a command?,man command_name,general,medium
279. How do you see folder structure?,tree (install via sudo apt install tree if not present),general,medium
280. How do you switch users?,su - username,general,medium
281. How do you find file size or disk usage of a file?,du -sh filename,general,medium
282. How do you print a message?,"echo ""your message""",general,medium
"283. How do you print a specific line (e.g., line 108) from a file?",sed -n '108p' filename or head -n 108 filename | tail -n 1,general,medium
284. What is the port number for HTTP?,80,general,medium
285. What is the port number for HTTPS?,443,general,medium
286. What is the use of the ping command?,To test network connectivity between two hosts.,general,medium
287. What is $# in shell scripting?,Total number of arguments passed to the script.,general,medium
288. How do you list hidden files?,ls -a,general,medium
289. How do you rename or move a file?,mv oldname newname,general,medium
290. What is a package manager?,"A tool to install, update, and manage software (e.g., apt, yum).",general,medium
291. What is the package manager for Ubuntu?,apt,general,medium
292. How do you modify permissions of a file?,chmod 770 filename,general,medium
293. How do you change ownership of a file?,chown user:group filename,general,medium
294. What is an inode?,A data structure that stores metadata about a file.,general,medium
295. How do you download a file from a URL?,wget URL or curl -O URL,general,medium
296. How do you redirect output to a file (overwrite)?,command > file,general,medium
297. How do you append output to a file?,command >> file,general,medium
298. How do you count the number of characters in a file?,wc -m filename,general,medium
299. How do you print the 8th column using awk?,awk '{print $8}' filename,general,medium
300. What command checks memory usage?,free -h,general,medium
301. How do you check status of a process?,ps -ef | grep processname,general,medium
302. What is $@ in shell scripting?,All arguments passed to the script as separate words.,general,medium
303. What is $$ in shell scripting?,PID of the current shell.,general,medium
304. What is $? in shell scripting?,Exit status of the last command (0 = success).,general,medium
305. What is $* in shell scripting?,All arguments as a single string.,general,medium
306. What is $! in shell scripting?,PID of the last background process.,general,medium
307. How do you give sudo permission to a user?,Add the user to the sudo group: usermod -aG sudo username,general,medium
308. How do you change default file permissions for new files?,"umask command (e.g., umask 022)",general,medium
309. How do you copy a file from one repo to another?,Use scp or rsync. rsync is preferred for resuming interrupted transfers.,general,medium
310. How do you set up a passwordless SSH connection?,ssh-keygen → ssh-copy-id user@host,general,medium
311. How do you list open ports?,netstat -tuln or ss -tuln,general,medium
312. How do you create a file?,touch filename,general,medium
313. How do you change file permissions?,chmod 755 filename,general,medium
314. How do you delete an environmental variable?,unset VARIABLE_NAME,general,medium
315. What is the use of telnet?,To test TCP connectivity to a remote port: telnet host port,general,medium
316. How do you fetch the current user details?,whoami or id,general,medium
317. How do you get the IP of the server?,hostname -I or ip a,general,medium
318. How do you change group ownership of a file?,chown :groupname filename,general,medium
319. How do you search for a file by modification time (within last 30 days)?,find . -type f -mtime -30,general,medium
320. What’s the difference between soft link and hard link?,Soft link is a pointer to the file; hard link is a mirror of the file inode.,general,medium
321. How do you untar a .tar.gz file?,tar -xvzf filename.tar.gz,general,medium
322. How do you list environmental variables?,env or printenv,general,medium
323. How do you add a new environmental variable?,export VAR=value,general,medium
324. How do you kill a process?,kill PID,general,medium
325. How do you get the PID of a process?,ps -ef | grep processname,general,medium
326. How do you copy files between two servers?,scp user1@host1:/path/file user2@host2:/path/,general,medium
327. What is a zombie process?,A process that has finished execution but still has an entry in the process table.,general,medium
328. What is an orphan process?,A child process whose parent has terminated.,general,medium
329. What is a daemon process?,"A background process that runs continuously (e.g., cron, sshd).",general,medium
330. What is swap space?,Disk space used when RAM is full.,general,medium
331. How do you search for a file containing a pattern like 'echo'?,.000grep -rl 'echo' .,general,medium
332. How do you find files starting with M?,ls | grep '^M',general,medium
333. What’s the difference between grep and sed?,"grep searches for patterns, sed can search, replace, delete lines, etc.",general,medium
334. What’s the difference between cut and awk?,cut is limited to simple delimited fields; awk is more powerful and programmable.,general,medium
335. How do you check CPU usage of processes?,top or htop,general,medium
336. What is a sticky bit?,A permission setting that allows only file owners to delete files in a directory.,general,medium
337. How do you run a process in the background?,command &,general,medium
338. What is nohup?,Runs a command immune to hangups; useful for background processes.,general,medium
339. How do you stop a process gracefully?,systemctl stop service_name,general,medium
340. How do you search for processes by a specific user?,ps -u username,general,medium
341. How do you create a background process in shell script?,./script.sh &,general,medium
342. Can you explain the file system hierarchy of Linux?,The Linux file system is hierarchical and starts at / (root). Key directories: 1. /bin – essential binaries 2. /home – user home directories 3. /var – variable data like logs 4. /etc – config files 5. /root – root user’s home directory,general,medium
343. What is a zombie process?,A zombie process is a completed process that still remains in the process table because its parent hasn’t read its exit status.,general,medium
344. What is an inode?,"An inode is a unique identifier for a file storing metadata like size, ownership, and permissions (but not name or content).",general,medium
345. What is $@?,It lists all arguments passed to the script as separate words.,general,medium
346. What is $!?,It returns the PID of the last background process.,general,medium
347. What is $??,It gives the exit status of the last executed command (0 = success).,general,medium
348. What is the shebang (#!)?,It's the first line in a shell script: #!/bin/bash It tells the OS to use the Bash shell to execute the script.,general,medium
349. How do you comment in a shell script?,Use # before the line.,general,medium
350. How do you read input from a user inside a shell script?,Use read variable_name,general,medium
351. How do you pass arguments to a shell script?,"By calling it like ./script.sh arg1 arg2, then accessing with $1, $2, etc.",general,medium
